"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Booking API Tests","0","Booking Management","3","0","create bookings","0"
"0","","0","","2","0","","0"
"0","Booking API Tests","0","Booking Management","1","0","Create Booking","0"
"1","Booking API Tests","0","Booking Management","0","0","Delete Booking","0"
"0","Booking API Tests","0","Booking Management","1","0","Get Booking","0"
